Time,Price
2018-10-30,6810.120
2018-10-31,6967.100
2018-11-01,7069.170
2018-11-02,6965.290
2018-11-05,6937.090
2018-11-06,6988.850
2018-11-07,7203.130
2018-11-08,7158.590
2018-11-09,7039.150
2018-11-12,6829.100
2018-11-13,6830.910
2018-11-14,6769.870
2018-11-15,6890.450
2018-11-16,6867.020
2018-11-19,6642.920
2018-11-20,6526.960
2018-11-21,6575.660
2018-11-22,
2018-11-23,6527.350
2018-11-26,6678.340
2018-11-27,6701.040
2018-11-28,6913.330
2018-11-29,6892.400
2018-11-30,6949.010
2018-12-03,7062.130
2018-12-04,6795.210
2018-12-05,
2018-12-06,6838.850
2018-12-07,6613.270
2018-12-10,6682.740
2018-12-11,6704.240
2018-12-12,6763.960
2018-12-13,6767.970
2018-12-14,6594.960
2018-12-17,6448.390
2018-12-18,6491.520
2018-12-19,6342.970
2018-12-20,6243.190
2018-12-21,6046.560
2018-12-24,5899.350
2018-12-25,
2018-12-26,6262.770
2018-12-27,6288.300
2018-12-28,6285.270
2018-12-31,6329.960
2019-01-01,
2019-01-02,6360.870
2019-01-03,6147.130
2019-01-04,6422.670
2019-01-07,6488.250
2019-01-08,6551.850
2019-01-09,6600.690
2019-01-10,6620.940
2019-01-11,6601.400
2019-01-14,6541.040
2019-01-15,6669.640
2019-01-16,6668.560
2019-01-17,6718.450
2019-01-18,6784.610
2019-01-21,
2019-01-22,6646.810
2019-01-23,6658.760
2019-01-24,6702.550
2019-01-25,6787.370
2019-01-28,6697.090
2019-01-29,6632.790
2019-01-30,6807.910
2019-01-31,6906.840
2019-02-01,6875.520
2019-02-04,6959.960
2019-02-05,7023.520
2019-02-06,6997.620
2019-02-07,6904.980
2019-02-08,6913.130
2019-02-11,6909.180
2019-02-12,7014.670
2019-02-13,7015.880
2019-02-14,7022.420
2019-02-15,7055.180
2019-02-18,
2019-02-19,7066.610
2019-02-20,7062.340
2019-02-21,7035.160
2019-02-22,7090.630
2019-02-25,7115.430
2019-02-26,7123.220
2019-02-27,7117.000
2019-02-28,7097.530
2019-03-01,7151.570
2019-03-04,7150.830
2019-03-05,7156.790
2019-03-06,7112.470
2019-03-07,7026.880
2019-03-08,7015.690
2019-03-11,7164.020
2019-03-12,7201.280
2019-03-13,7256.980
2019-03-14,7243.010
2019-03-15,7306.990
2019-03-18,7326.280
2019-03-19,7349.280
2019-03-20,7380.750
2019-03-21,7493.270
2019-03-22,7326.060
2019-03-25,7316.960
2019-03-26,7351.150
2019-03-27,7308.190
2019-03-28,7320.470
2019-03-29,7378.770
2019-04-01,7478.420
2019-04-02,7499.640
2019-04-03,7544.970
2019-04-04,7540.570
2019-04-05,7578.840
2019-04-08,7599.740
2019-04-09,7568.490
2019-04-10,7611.490
2019-04-11,7594.890
2019-04-12,7628.150
2019-04-15,7629.120
2019-04-16,7654.730
2019-04-17,7680.720
2019-04-18,7689.720
2019-04-19,7689.715
2019-04-22,7713.490
2019-04-23,7810.710
2019-04-24,7784.410
2019-04-25,7816.920
2019-04-26,7826.680
2019-04-29,7839.040
2019-04-30,7781.460
2019-05-01,7751.850
2019-05-02,7724.060
2019-05-03,7845.730
2019-05-06,7794.090
2019-05-07,7640.150
2019-05-08,7617.550
2019-05-09,7582.750
2019-05-10,7586.530
2019-05-13,7324.130
2019-05-14,7401.880
2019-05-15,7503.250
2019-05-16,7580.140
2019-05-17,7503.680
2019-05-20,7376.700
2019-05-21,7451.020
2019-05-22,7420.660
2019-05-23,7307.930
2019-05-24,7300.960
2019-05-27,
2019-05-28,7278.380
2019-05-29,7216.860
2019-05-30,7245.400
2019-05-31,7127.960
2019-06-03,6978.020
2019-06-04,7166.750
2019-06-05,7220.900
2019-06-06,7275.930
2019-06-07,7417.290
2019-06-10,7501.930
2019-06-11,7513.850
2019-06-12,7472.290
2019-06-13,7510.680
2019-06-14,7479.110
2019-06-17,7526.520
2019-06-18,7635.400
2019-06-19,7667.740
2019-06-20,7738.050
2019-06-21,7728.780
2019-06-24,7723.020
2019-06-25,7591.540
2019-06-26,7627.050
2019-06-27,7657.050
2019-06-28,7671.070
2019-07-01,7768.140
2019-07-02,7799.820
2019-07-03,7857.690
2019-07-04,
2019-07-05,7841.300
2019-07-08,7785.790
2019-07-09,7826.860
2019-07-10,7903.400
2019-07-11,7896.780
2019-07-12,7943.240
2019-07-15,7966.930
2019-07-16,7927.080
2019-07-17,7888.760
2019-07-18,7904.130
2019-07-19,7834.900
2019-07-22,7905.120
2019-07-23,7954.560
2019-07-24,8010.600
2019-07-25,7929.870
2019-07-26,8016.950
2019-07-29,7989.080
2019-07-30,7952.470
2019-07-31,7848.780
2019-08-01,7801.150
2019-08-02,7692.800
2019-08-05,7415.690
2019-08-06,7521.320
2019-08-07,7551.900
2019-08-08,7724.830
2019-08-09,7646.270
2019-08-12,7561.680
2019-08-13,7728.150
2019-08-14,7490.130
2019-08-15,7484.890
2019-08-16,7604.110
2019-08-19,7719.320
2019-08-20,7664.470
2019-08-21,7733.220
2019-08-22,7707.430
2019-08-23,7464.990
2019-08-26,7575.020
2019-08-27,7566.030
2019-08-28,7587.900
2019-08-29,7702.310
2019-08-30,7691.000
2019-09-02,
2019-09-03,7609.510
2019-09-04,7719.250
2019-09-05,7862.540
2019-09-06,7852.540
2019-09-09,7832.400
2019-09-10,7814.740
2019-09-11,7887.580
2019-09-12,7917.340
2019-09-13,7892.950
2019-09-16,7852.410
2019-09-17,7888.790
2019-09-18,7888.560
2019-09-19,7901.790
2019-09-20,7823.550
2019-09-23,7818.610
2019-09-24,7710.040
2019-09-25,7803.540
2019-09-26,7771.990
2019-09-27,7681.580
2019-09-30,7749.450
2019-10-01,7684.140
2019-10-02,7550.790
2019-10-03,7638.390
2019-10-04,7754.100
2019-10-07,7725.130
2019-10-08,7604.270
2019-10-09,7690.530
2019-10-10,7740.360
2019-10-11,7843.870
2019-10-14,7842.330
2019-10-15,7942.850
2019-10-16,7920.210
2019-10-17,7942.140
2019-10-18,7868.490
2019-10-21,7940.330
2019-10-22,7874.620
2019-10-23,7889.470
2019-10-24,7966.720
2019-10-25,8029.220
2019-10-28,8110.670
2019-10-29,8047.510
2019-10-30,8083.110
2019-10-31,8083.830
2019-11-01,8161.170
2019-11-04,8210.660
2019-11-05,8210.180
2019-11-06,8196.030
2019-11-07,8219.650
2019-11-08,8255.890
2019-11-11,8241.910
2019-11-12,8263.790
2019-11-13,8259.810
2019-11-14,8257.830
2019-11-15,8315.520
2019-11-18,8328.480
2019-11-19,8338.740
2019-11-20,8283.750
2019-11-21,8265.620
2019-11-22,8272.050
2019-11-25,8371.930
2019-11-26,8385.750
2019-11-27,8444.710
2019-11-28,
2019-11-29,8403.680
2019-12-02,8309.260
2019-12-03,8254.740
2019-12-04,8296.530
2019-12-05,8308.400
2019-12-06,8397.370
2019-12-09,8362.740
2019-12-10,8354.290
2019-12-11,8402.610
2019-12-12,8466.890
2019-12-13,8487.710
2019-12-16,8570.330
2019-12-17,8575.700
2019-12-18,8580.620
2019-12-19,8641.290
2019-12-20,8678.490
2019-12-23,8696.010
2019-12-24,8699.510
2019-12-25,
2019-12-26,8778.310
2019-12-27,8770.980
2019-12-30,8709.730
2019-12-31,8733.070
2020-01-01,
2020-01-02,8872.220
2020-01-03,8793.900
2020-01-06,8848.520
2020-01-07,8846.450
2020-01-08,8912.370
2020-01-09,8989.630
2020-01-10,8966.640
2020-01-13,9070.650
2020-01-14,9033.420
2020-01-15,9035.670
2020-01-16,9125.000
2020-01-17,9173.730
2020-01-20,
2020-01-21,9166.630
2020-01-22,9188.570
2020-01-23,9216.980
2020-01-24,9141.470
2020-01-27,8952.180
2020-01-28,9090.930
2020-01-29,9101.610
2020-01-30,9136.090
2020-01-31,8991.510
2020-02-03,9126.230
2020-02-04,9334.060
2020-02-05,9367.480
2020-02-06,9445.920
2020-02-07,9401.100
2020-02-10,9516.840
2020-02-11,9517.860
2020-02-12,9613.200
2020-02-13,9595.700
2020-02-14,9623.580
2020-02-17,
2020-02-18,9629.800
2020-02-19,9718.730
2020-02-20,9627.830
2020-02-21,9446.690
2020-02-24,9079.630
2020-02-25,8834.870
2020-02-26,8873.760
2020-02-27,8436.670
2020-02-28,8461.830
2020-03-02,8877.980
2020-03-03,8594.490
2020-03-04,8949.280
2020-03-05,8671.660
2020-03-06,8530.340
2020-03-09,7948.030
2020-03-10,8372.270
2020-03-11,8006.120
2020-03-12,7263.650
2020-03-13,7995.260
2020-03-16,7020.380
2020-03-17,7473.950
2020-03-18,7175.180
2020-03-19,7288.520
2020-03-20,6994.290
2020-03-23,7006.920
2020-03-24,7553.820
2020-03-25,7469.620
2020-03-26,7897.130
2020-03-27,7588.370
2020-03-30,7889.010
2020-03-31,7813.500
2020-04-01,7486.290
2020-04-02,7635.660
2020-04-03,7528.110
2020-04-06,8081.660
2020-04-07,8049.310
2020-04-08,8229.540
2020-04-09,8238.530
2020-04-10,
2020-04-13,8332.740
2020-04-14,8692.160
2020-04-15,8591.960
2020-04-16,8757.830
2020-04-17,8832.410
2020-04-20,8726.510
2020-04-21,8403.000
2020-04-22,8664.630
2020-04-23,8641.500
2020-04-24,8786.600
2020-04-27,8837.660
2020-04-28,8677.600
2020-04-29,8982.760
2020-04-30,9000.510
2020-05-01,8718.180
2020-05-04,8834.110
2020-05-05,8930.620
2020-05-06,8984.860
2020-05-07,9101.880
2020-05-08,9220.350
2020-05-11,9298.920
2020-05-12,9112.450
2020-05-13,9000.080
2020-05-14,9094.430
2020-05-15,9152.640
2020-05-18,9331.930
2020-05-19,9298.540
2020-05-20,9485.020
2020-05-21,9377.990
2020-05-22,9413.990
2020-05-25,
2020-05-26,9389.980
2020-05-27,9442.050
2020-05-28,9416.710
2020-05-29,9555.520
2020-06-01,9598.890
2020-06-02,9657.310
2020-06-03,9704.690
2020-06-04,9629.660
2020-06-05,9824.390
2020-06-08,9901.520
2020-06-09,9967.170
2020-06-10,10094.260
2020-06-11,9588.480
2020-06-12,9663.770
2020-06-15,9776.890
2020-06-16,9949.370
2020-06-17,9982.480
2020-06-18,10012.050
2020-06-19,10008.640
2020-06-22,10130.330
2020-06-23,10209.820
2020-06-24,10002.700
2020-06-25,10101.830
2020-06-26,9849.360
2020-06-29,9961.160
2020-06-30,10156.850
2020-07-01,10279.250
2020-07-02,10341.890
2020-07-03,
2020-07-06,10604.060
2020-07-07,10524.010
2020-07-08,10666.700
2020-07-09,10754.590
2020-07-10,10836.330
2020-07-13,10602.210
2020-07-14,10689.520
2020-07-15,10701.680
2020-07-16,10626.460
2020-07-17,10645.220
2020-07-20,10952.080
2020-07-21,10833.070
2020-07-22,10870.750
2020-07-23,10580.590
2020-07-24,10483.130
2020-07-27,10674.380
2020-07-28,10532.500
2020-07-29,10662.980
2020-07-30,10715.510
2020-07-31,10905.880
2020-08-03,11055.080
2020-08-04,11096.540
2020-08-05,11125.440
2020-08-06,11267.080
2020-08-07,11139.390
2020-08-10,11085.170
2020-08-11,10876.080
2020-08-12,11157.720
2020-08-13,11178.370
2020-08-14,11164.450
2020-08-17,11288.570
2020-08-18,11399.030
2020-08-19,11318.640
2020-08-20,11477.050
2020-08-21,11555.160
2020-08-24,11626.170
2020-08-25,11721.810
2020-08-26,11971.940
2020-08-27,11926.160
2020-08-28,11995.850
2020-08-31,12110.700
2020-09-01,12292.860
2020-09-02,12420.540
2020-09-03,11771.370
2020-09-04,11622.130
2020-09-07,
2020-09-08,11068.260
2020-09-09,11395.850
2020-09-10,11154.120
2020-09-11,11087.400
2020-09-14,11277.760
2020-09-15,11438.870
2020-09-16,11247.600
2020-09-17,11080.950
2020-09-18,10936.980
2020-09-21,10980.220
2020-09-22,11186.370
2020-09-23,10833.330
2020-09-24,10896.470
2020-09-25,11151.130
2020-09-28,11364.450
2020-09-29,11322.950
2020-09-30,11418.060
2020-10-01,11583.200
2020-10-02,11255.690
2020-10-05,11509.060
2020-10-06,11291.270
2020-10-07,11503.190
2020-10-08,11550.940
2020-10-09,11725.850
2020-10-12,12088.110
2020-10-13,12083.170
2020-10-14,11985.360
2020-10-15,11898.570
2020-10-16,11852.170
2020-10-19,11634.350
2020-10-20,11677.840
2020-10-21,11665.370
2020-10-22,11662.910
2020-10-23,11692.570
2020-10-26,11504.520
2020-10-27,11598.950
2020-10-28,11142.760
2020-10-29,11350.740
2020-10-30,11052.950
2020-11-02,11084.760
2020-11-03,11279.910
2020-11-04,11777.020
2020-11-05,12078.070
2020-11-06,12091.350
2020-11-09,11830.390
2020-11-10,11624.290
2020-11-11,11892.930
2020-11-12,11827.140
2020-11-13,11937.840
2020-11-16,12013.380
2020-11-17,11977.490
2020-11-18,11894.710
2020-11-19,11985.430
2020-11-20,11906.440
2020-11-23,11905.940
2020-11-24,12079.810
2020-11-25,12152.220
2020-11-26,
2020-11-27,12258.210
2020-11-30,12268.320
2020-12-01,12455.330
2020-12-02,12456.410
2020-12-03,12467.130
2020-12-04,12528.480
2020-12-07,12596.470
2020-12-08,12635.720
2020-12-09,12364.640
2020-12-10,12401.740
2020-12-11,12375.410
2020-12-14,12462.210
2020-12-15,12595.920
2020-12-16,12668.160
2020-12-17,12752.060
2020-12-18,12738.180
2020-12-21,12690.260
2020-12-22,12717.560
2020-12-23,12653.140
2020-12-24,12711.010
2020-12-25,
2020-12-28,12838.860
2020-12-29,12843.490
2020-12-30,12845.360
2020-12-31,12888.280
2021-01-01,
2021-01-04,12694.660
2021-01-05,12802.380
2021-01-06,12623.350
2021-01-07,12939.570
2021-01-08,13105.200
2021-01-11,12902.490
2021-01-12,12892.090
2021-01-13,12973.630
2021-01-14,12898.690
2021-01-15,12803.930
2021-01-18,
2021-01-19,12996.540
2021-01-20,13296.450
2021-01-21,13404.990
2021-01-22,13366.400
2021-01-25,13483.290
2021-01-26,13490.190
2021-01-27,13112.650
2021-01-28,13201.530
2021-01-29,12925.380
2021-02-01,13248.900
2021-02-02,13456.120
2021-02-03,13402.370
2021-02-04,13560.890
2021-02-05,13603.960
2021-02-08,13695.020
2021-02-09,13687.080
2021-02-10,13655.270
2021-02-11,13734.350
2021-02-12,13807.700
2021-02-15,
2021-02-16,13773.770
2021-02-17,13699.710
2021-02-18,13637.510
2021-02-19,13580.780
2021-02-22,13223.740
2021-02-23,13194.710
2021-02-24,13302.190
2021-02-25,12828.310
2021-02-26,12909.440
2021-03-01,13282.950
2021-03-02,13059.950
2021-03-03,12683.330
2021-03-04,12464.000
2021-03-05,12668.510
2021-03-08,12299.080
2021-03-09,12794.490
2021-03-10,12752.070
2021-03-11,13052.900
2021-03-12,12937.290
2021-03-15,13082.540
2021-03-16,13152.280
2021-03-17,13202.380
2021-03-18,12789.140
2021-03-19,12866.990
2021-03-22,13086.510
2021-03-23,13017.790
2021-03-24,12798.880
2021-03-25,12780.510
2021-03-26,12979.120
2021-03-29,12965.740
2021-03-30,12896.530
2021-03-31,13091.440
2021-04-01,13329.510
2021-04-02,
2021-04-05,13598.160
2021-04-06,13578.460
2021-04-07,13616.700
2021-04-08,13758.510
2021-04-09,13845.050
2021-04-12,13819.350
2021-04-13,13986.490
2021-04-14,13803.910
2021-04-15,14026.190
2021-04-16,14041.910
2021-04-19,13907.670
2021-04-20,13809.300
2021-04-21,13935.150
2021-04-22,13762.360
2021-04-23,13941.440
2021-04-26,14026.160
2021-04-27,13960.280
2021-04-28,13901.620
2021-04-29,13970.200
2021-04-30,13860.760
2021-05-03,13799.720
2021-05-04,13544.670
2021-05-05,13503.370
2021-05-06,13613.730
2021-05-07,13719.630
2021-05-10,13359.080
2021-05-11,13351.270
2021-05-12,13001.630
2021-05-13,13109.150
2021-05-14,13393.120
2021-05-17,13312.910
2021-05-18,13217.680
2021-05-19,13237.910
2021-05-20,13494.090
2021-05-21,13411.740
2021-05-24,13641.750
2021-05-25,13657.730
2021-05-26,13702.740
2021-05-27,13657.850
2021-05-28,13686.510
2021-05-31,
2021-06-01,13654.590
2021-06-02,13675.790
2021-06-03,13529.680
2021-06-04,13770.770
2021-06-07,13802.890
2021-06-08,13810.860
2021-06-09,13814.940
2021-06-10,13960.350
2021-06-11,13998.300
2021-06-14,14128.200
2021-06-15,14030.410
2021-06-16,13983.010
2021-06-17,14163.810
2021-06-18,14049.580
2021-06-21,14137.230
2021-06-22,14270.420
2021-06-23,14274.240
2021-06-24,14365.960
2021-06-25,14345.180
2021-06-28,14524.980
2021-06-29,14572.750
2021-06-30,14554.800
2021-07-01,14560.050
2021-07-02,14727.630
2021-07-05,
2021-07-06,14786.360
2021-07-07,14810.540
2021-07-08,14722.140
2021-07-09,14826.090
2021-07-12,14877.890
2021-07-13,14874.540
2021-07-14,14900.440
2021-07-15,14794.690
2021-07-16,14681.380
2021-07-19,14549.090
2021-07-20,14728.210
2021-07-21,14842.630
2021-07-22,14940.170
2021-07-23,15111.790
2021-07-26,15125.950
2021-07-27,14956.970
2021-07-28,15018.100
2021-07-29,15048.360
2021-07-30,14959.900
2021-08-02,14963.620
2021-08-03,15061.420
2021-08-04,15083.390
2021-08-05,15181.640
2021-08-06,15109.360
2021-08-09,15133.110
2021-08-10,15053.580
2021-08-11,15027.760
2021-08-12,15088.980
2021-08-13,15136.680
2021-08-16,15140.770
2021-08-17,15002.830
2021-08-18,14857.920
2021-08-19,14933.940
2021-08-20,15092.570
2021-08-23,15312.820
2021-08-24,15357.680
2021-08-25,15368.920
2021-08-26,15278.520
2021-08-27,15432.950
2021-08-30,15605.090
2021-08-31,15582.510
2021-09-01,15611.570
2021-09-02,15604.250
2021-09-03,15652.860
2021-09-06,
2021-09-07,15675.760
2021-09-08,15620.850
2021-09-09,15561.050
2021-09-10,15440.750
2021-09-13,15434.500
2021-09-14,15382.900
2021-09-15,15503.530
2021-09-16,15515.910
2021-09-17,15333.470
2021-09-20,15012.190
2021-09-21,15027.770
2021-09-22,15176.510
2021-09-23,15316.580
2021-09-24,15329.680
2021-09-27,15204.820
2021-09-28,14770.300
2021-09-29,14752.890
2021-09-30,14689.620
2021-10-01,14791.870
2021-10-04,14472.120
2021-10-05,14674.150
2021-10-06,14766.750
2021-10-07,14897.130
2021-10-08,14820.750
2021-10-11,14713.730
2021-10-12,14662.110
2021-10-13,14774.600
2021-10-14,15052.420
2021-10-15,15146.920
2021-10-18,15300.890
2021-10-19,15410.720
2021-10-20,15388.710
2021-10-21,15489.590
2021-10-22,15355.070
2021-10-25,15514.190
2021-10-26,15559.490
2021-10-27,15598.390
2021-10-28,15778.160
2021-10-29,15850.470
2021-11-01,15905.280
2021-11-02,15972.490
2021-11-03,16144.500
2021-11-04,16346.240
2021-11-05,16359.380
2021-11-08,16336.030
2021-11-09,16219.940
2021-11-10,15985.570
2021-11-11,16032.470
2021-11-12,16199.890
2021-11-15,16189.120
2021-11-16,16309.770
2021-11-17,16308.070
2021-11-18,16482.970
2021-11-19,16573.340
2021-11-22,16380.980
2021-11-23,16306.720
2021-11-24,16367.810
2021-11-25,
2021-11-26,16025.580
2021-11-29,16399.240
2021-11-30,16135.920
2021-12-01,15877.720
2021-12-02,15990.760
2021-12-03,15712.040
2021-12-06,15846.160
2021-12-07,16325.660
2021-12-08,16394.340
2021-12-09,16149.570
2021-12-10,16331.980
2021-12-13,16082.550
2021-12-14,15914.900
2021-12-15,16289.590
2021-12-16,15863.940
2021-12-17,15801.460
2021-12-20,15627.640
2021-12-21,15986.280
2021-12-22,16180.140
2021-12-23,16308.210
2021-12-24,
2021-12-27,16567.500
2021-12-28,16488.660
2021-12-29,16491.010
2021-12-30,16429.100
2021-12-31,16320.080
2022-01-03,16501.770
2022-01-04,16279.730
2022-01-05,15771.780
2022-01-06,15765.360
2022-01-07,15592.190
2022-01-10,15614.430
2022-01-11,15844.120
2022-01-12,15905.100
2022-01-13,15495.620
2022-01-14,15611.590
2022-01-17,
2022-01-18,15210.760
2022-01-19,15047.840
2022-01-20,14846.460
2022-01-21,14438.400
2022-01-24,14509.580
2022-01-25,14149.120
2022-01-26,14172.760
2022-01-27,14003.110
2022-01-28,14454.610
2022-01-31,14930.050
2022-02-01,15019.680
2022-02-02,15139.740
2022-02-03,14501.110
2022-02-04,14694.350
2022-02-07,14571.250
2022-02-08,14747.030
2022-02-09,15056.960
2022-02-10,14705.640
2022-02-11,14253.840
2022-02-14,14268.590
2022-02-15,14620.820
2022-02-16,14603.640
2022-02-17,14171.740
2022-02-18,14009.540
2022-02-21,
2022-02-22,13870.530
2022-02-23,13509.430
2022-02-24,13974.670
2022-02-25,14189.160
2022-02-28,14237.810
2022-03-01,14005.990
2022-03-02,14243.690
2022-03-03,14035.210
2022-03-04,13837.830
2022-03-07,13319.380
2022-03-08,13267.600
2022-03-09,13742.200
2022-03-10,13591.000
2022-03-11,13301.830
2022-03-14,13046.640
2022-03-15,13458.560
2022-03-16,13956.790
2022-03-17,14118.600
2022-03-18,14420.080
2022-03-21,14376.090
2022-03-22,14654.330
2022-03-23,14447.550
2022-03-24,14765.690
2022-03-25,14754.310
2022-03-28,14987.400
2022-03-29,15239.320
2022-03-30,15071.550
2022-03-31,14838.490
2022-04-01,14861.210
2022-04-04,15159.580
2022-04-05,14820.640
2022-04-06,14498.880
2022-04-07,14531.810
2022-04-08,14327.260
2022-04-11,13990.210
2022-04-12,13940.240
2022-04-13,14217.290
2022-04-14,13893.210
2022-04-15,
2022-04-18,13910.760
2022-04-19,14210.260
2022-04-20,13998.530
2022-04-21,13720.450
2022-04-22,13356.870
2022-04-25,13533.220
2022-04-26,13009.710
2022-04-27,13003.360
2022-04-28,13456.060
2022-04-29,12854.800
2022-05-02,13075.850
2022-05-03,13089.900
2022-05-04,13535.710
2022-05-05,12850.550
